2026-08-05 13:11:47.245 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=8 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=9)
2026-08-05 13:11:48.351 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=8 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=10)
2026-08-05 13:11:54.112 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=8 fetched_new=10 fetched_total=80 has_next=True
2026-08-05 13:11:59.850 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=9 fetched_new=10 fetched_total=90 has_next=True
2026-08-05 13:12:06.148 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=10 fetched_new=10 fetched_total=100 has_next=True
2026-08-05 13:12:07.787 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=11 transport error: Failed to perform, curl: (35) TLS connect error: error:00000000:invalid library (0):OPENSSL_internal:invalid library (0). See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-05 13:12:13.383 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=11 fetched_new=10 fetched_total=110 has_next=True
2026-08-05 13:12:18.571 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=12 fetched_new=10 fetched_total=120 has_next=True
2026-08-05 13:12:41.693 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=13 fetched_new=10 fetched_total=130 has_next=True
2026-08-05 13:12:46.855 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=14 fetched_new=9 fetched_total=139 has_next=True
2026-08-05 13:12:53.443 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=15 fetched_new=10 fetched_total=149 has_next=True
2026-08-05 13:13:12.463 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=16 fetched_new=9 fetched_total=158 has_next=True
2026-08-05 13:13:43.550 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=17 transport error: Failed to perform, curl: (28) Connection closed abruptly. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-05 13:13:49.356 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=17 fetched_new=10 fetched_total=168 has_next=True
2026-08-05 13:13:54.313 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=18 fetched_new=10 fetched_total=178 has_next=True
2026-08-05 13:13:57.486 | WARNING  | app.graphql_paginator:_paginate_curl:358 - [curl] page=19 rate limit 1675004 (streak=1)
2026-08-05 13:13:57.486 | WARNING  | app.proxy:report_rate_limited:264 - [proxy] IP cooled down 300s: socks5://185.243.218.108:20043
2026-08-05 13:14:02.255 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=19 fetched_new=10 fetched_total=188 has_next=True
2026-08-05 13:14:06.683 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=20 fetched_new=10 fetched_total=198 has_next=True
2026-08-05 13:14:07.338 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=21 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-05 13:14:08.397 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=21 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=2)
2026-08-05 13:14:09.457 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=21 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=3)
2026-08-05 13:14:10.564 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=21 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=4)
2026-08-05 13:14:11.628 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=21 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=5)
2026-08-05 13:14:12.689 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=21 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=6)
