Ключ,Нашёл в целевом дне,Новых крео в базу,Карточек просмотрено,Срезов,Какие статусы прошли,Примечание
coupon,0,773,8171,2,active+inactive,""
membership,0,736,9597,1,только active,""
sample,0,722,4699,1,только active,""
book,0,687,5242,2,active+inactive,""
male energy,0,667,3068,3,active+inactive,""
Tower Game,0,635,1818,1,только active,""
win cash,0,593,6126,1,только active,""
signup,0,510,1717,2,active+inactive,""
VIP room,0,485,7360,2,active+inactive,""
money,0,467,8518,2,active+inactive,""
voucher,0,440,4447,1,только active,""
Wheel of fortune,0,422,4674,2,active+inactive,""
Vegas Spin,0,345,1600,1,только inactive,active-срез не отработал
remedies,0,325,1200,1,только inactive,active-срез не отработал
sport,0,292,1474,1,только active,""
Wild card,0,220,2831,1,только active,""
find,0,186,5152,2,active+inactive,""
hearing loss,0,185,3209,2,active+inactive,""
WinSpirit,0,178,3469,1,только active,""
ligament,0,170,1023,2,active+inactive,""
Win big / Huge win,0,165,3456,1,только active,""
buy,0,139,1753,2,active+inactive,""
WinRush,0,137,3052,1,только active,""
testimonial,0,84,2867,2,active+inactive,""
training,0,66,2455,2,active+inactive,""
wellness,0,45,6694,1,только inactive,active-срез не отработал
unique,0,41,600,1,только inactive,active-срез не отработал
tumble win,0,32,451,3,active+inactive,""
vitamin,0,26,6429,1,только inactive,active-срез не отработал
apply,0,9,531,1,только active,""
special,0,5,400,1,только inactive,active-срез не отработал
confidence,0,2,200,1,только inactive,active-срез не отработал
care,0,2,2401,1,только inactive,active-срез не отработал
comfort,0,2,200,1,только inactive,active-срез не отработал
Try your luck,0,0,200,1,только inactive,active-срез не отработал
original,0,0,400,1,только inactive,active-срез не отработал
career,0,0,200,1,только inactive,active-срез не отработал
Rizk,0,0,11,1,только active,""
Online wagering,0,0,8,1,только active,""
Hearing,0,0,200,2,только inactive,active-срез не отработал
sound,0,0,200,1,только inactive,active-срез не отработал
limited,0,0,200,1,только inactive,active-срез не отработал
double your win,0,0,200,1,только inactive,active-срез не отработал
Under the gun,0,0,200,1,только inactive,active-срез не отработал
Space XY,0,0,33,1,только active,""
real estate,0,0,200,1,только inactive,active-срез не отработал
Vulkan Vegas,0,0,53,3,active+inactive,""
sign,0,0,600,1,только inactive,active-срез не отработал
5 Lions Megaways,0,0,2,3,active+inactive,""
learn,0,0,200,1,только inactive,active-срез не отработал
insurance,0,0,200,1,только inactive,active-срез не отработал
easy,0,0,400,1,только inactive,active-срез не отработал
win now,0,0,200,1,только inactive,active-срез не отработал
Big Bass Hold & Spinner,0,0,214,3,active+inactive,""
Slot odyssey,0,0,4,1,только active,""
Linebet,0,0,4,2,active+inactive,""
Slotomania,0,0,333,1,только active,""
safe,0,0,600,1,только inactive,active-срез не отработал
get,0,0,400,1,только inactive,active-срез не отработал
Book of Sun,0,0,200,1,только inactive,active-срез не отработал
shop,0,0,1600,1,только inactive,active-срез не отработал
Book of dead,0,0,200,1,только inactive,active-срез не отработал
expert,0,0,200,1,только inactive,active-срез не отработал
Cold table,0,0,200,1,только inactive,active-срез не отработал
weight,0,0,200,1,только inactive,active-срез не отработал
download,0,0,200,1,только inactive,active-срез не отработал
recovery,0,0,200,1,только inactive,active-срез не отработал
Sugar Rush Bonanza,0,0,1,1,только active,""
Casinonic,0,0,0,3,active+inactive,""
offer,0,0,200,1,только inactive,active-срез не отработал
Sugar Rush Valentine,0,0,1,1,только active,""
Claim now,0,0,200,1,только inactive,active-срез не отработал
blood pressure,0,0,200,1,только inactive,active-срез не отработал
Olivers Bar Deluxe,0,0,0,3,active+inactive,""
blood pressure control,0,0,200,1,только inactive,active-срез не отработал
problem,0,0,200,2,только inactive,active-срез не отработал
SlotHunter,0,0,37,1,только active,""
exclusive,0,0,200,1,только inactive,active-срез не отработал
experience,0,0,200,1,только inactive,active-срез не отработал
order,0,0,200,1,только inactive,active-срез не отработал
store,0,0,400,1,только inactive,active-срез не отработал
code,0,0,200,1,только inactive,active-срез не отработал
natural,0,0,200,1,только inactive,active-срез не отработал
request,0,0,200,1,только inactive,active-срез не отработал
phone,0,0,200,1,только inactive,active-срез не отработал
Wazamba,0,0,0,3,active+inactive,""
tool,0,0,200,1,только inactive,active-срез не отработал
Big Bass Amazon Xtreme,0,0,2,3,active+inactive,""
join,0,0,200,1,только inactive,active-срез не отработал
cheap,0,0,200,1,только inactive,active-срез не отработал
restaurant,0,0,200,1,только inactive,active-срез не отработал
Deposit,0,0,200,1,только inactive,active-срез не отработал
Sugar Rush 1000,0,0,63,1,только active,""
Slot mania,0,0,8,1,только active,""
shoulder,0,0,200,2,только inactive,active-срез не отработал
popular,0,0,200,1,только inactive,active-срез не отработал
Madame Destiny Megaways,0,0,0,2,только active,""
baby,0,0,200,1,только inactive,active-срез не отработал
spine,0,0,807,1,только inactive,active-срез не отработал
Thunder Coins XXL,0,0,2,3,active+inactive,""
Mega Moolah,0,0,8,1,только active,""
powerful,0,0,200,1,только inactive,active-срез не отработал
relief,0,0,200,1,только inactive,active-срез не отработал
program,0,0,200,1,только inactive,active-срез не отработал
collection,0,0,200,1,только inactive,active-срез не отработал
Mostbet,0,0,2,1,только active,""
fashion,0,0,200,1,только inactive,active-срез не отработал
Dog House Megaways,0,0,7,3,active+inactive,""
stomach,0,0,200,1,только inactive,active-срез не отработал
you could be next,0,0,400,1,только inactive,active-срез не отработал
walking,0,0,200,2,только inactive,active-срез не отработал
don’t miss your chance,0,0,200,1,только inactive,active-срез не отработал
review,0,0,400,1,только inactive,active-срез не отработал
product,0,0,200,1,только inactive,active-срез не отработал
win real money,0,0,200,1,только inactive,active-срез не отработал
Slottica,0,0,0,3,active+inactive,""
watch,0,0,200,1,только inactive,active-срез не отработал
Madame Destiny,0,0,5,1,только active,""
home,0,0,200,1,только inactive,active-срез не отработал
bleeding,0,0,200,1,только inactive,active-срез не отработал
intimate life,0,0,200,2,только inactive,active-срез не отработал
joker stoker,0,0,20,3,active+inactive,""
Betfair,0,0,111,3,active+inactive,""
online,0,0,200,1,только inactive,active-срез не отработал
Бетинг,0,0,0,3,active+inactive,""
support,0,0,200,1,только inactive,active-срез не отработал
Payout paradise,0,0,1,1,только active,""
Wild Cash x9990,0,0,1,3,active+inactive,""
Crash,0,0,200,1,только inactive,active-срез не отработал
Evolution Gaming,0,0,282,3,active+inactive,""
favorite,0,0,200,1,только inactive,active-срез не отработал
Poker quest,0,0,26,1,только active,""
simple,0,0,200,1,только inactive,active-срез не отработал
game,0,0,200,1,только inactive,active-срез не отработал
healthcare,0,0,200,1,только inactive,active-срез не отработал
RooBet,0,0,3,1,только active,""
app,0,0,200,1,только inactive,active-срез не отработал
try,0,0,200,1,только inactive,active-срез не отработал
Hacksaw Gaming,0,0,7,1,только active,""
Bet and win,0,0,200,1,только inactive,active-срез не отработал
Joycasino,0,0,0,3,active+inactive,""
claim your reward,0,0,200,1,только inactive,active-срез не отработал
skin,0,0,200,1,только inactive,active-срез не отработал
well-being,0,0,200,1,только inactive,active-срез не отработал
start,0,0,400,1,только inactive,active-срез не отработал
member,0,0,200,1,только inactive,active-срез не отработал
BitStarz,0,0,64,3,active+inactive,""
Gemhalla,0,0,4,3,active+inactive,""
Classic Multihand Blackjack,0,0,3,3,active+inactive,""
Dolphins Pearl Delux,0,0,1,3,active+inactive,""
age,0,0,200,1,только inactive,active-срез не отработал
treatment,0,0,200,1,только inactive,active-срез не отработал
Bet / Bet now,0,0,200,1,только inactive,active-срез не отработал
new,0,0,400,1,только inactive,active-срез не отработал
available,0,0,200,1,только inactive,active-срез не отработал
Betfury,0,0,36,3,active+inactive,""
CazinoZ,0,0,1,3,active+inactive,""
best,0,0,200,1,только inactive,active-срез не отработал
Microgaming,0,0,0,2,только active,""
Double down,0,0,200,1,только inactive,active-срез не отработал
pain,0,0,200,1,только inactive,active-срез не отработал
Sugar Rush Xmas,0,0,0,2,только active,""
Wild West Trueways,0,0,0,3,active+inactive,""
movement,0,0,200,2,только inactive,active-срез не отработал
mega tumble,0,0,1,1,только active,""
Zeus vs Hades,0,0,200,3,active+inactive,""
doctor,0,0,200,2,только inactive,active-срез не отработал
waste,0,0,200,1,только inactive,active-срез не отработал
Spin fiesta,0,0,7,1,только active,""
Big Money,0,0,200,1,только inactive,active-срез не отработал
wear,0,0,200,1,только inactive,active-срез не отработал
Olympus Trueways,0,0,2,3,active+inactive,""
business,0,0,200,1,только inactive,active-срез не отработал
now,0,0,400,1,только inactive,active-срез не отработал
Chicken Pirate,0,0,232,3,active+inactive,""
success,0,0,200,1,только inactive,active-срез не отработал
jokers jewels,0,0,80,2,active+inactive,""
technology,0,0,200,1,только inactive,active-срез не отработал
CasinoChan,0,0,231,3,active+inactive,""
secure,0,0,600,1,только inactive,active-срез не отработал
back,0,0,200,2,только inactive,active-срез не отработал
gift,0,0,400,1,только inactive,active-срез не отработал
Aviamasters,0,0,28,3,active+inactive,""
early,0,0,200,1,только inactive,active-срез не отработал
Bitcasino.io,0,0,12,3,active+inactive,""
GG.Bet,0,0,27,1,только active,""
Tortuga Casino,0,0,0,2,только active,""
deal,0,0,200,1,только inactive,active-срез не отработал
fast,0,0,200,1,только inactive,active-срез не отработал
arthrosis,0,0,135,5,active+inactive,""
Cloudbet,0,0,13,3,active+inactive,""
Forest Queen Deluxe,0,0,6,2,только active,""
Try now,0,0,200,1,только inactive,active-срез не отработал
who will win,0,0,200,1,только inactive,active-срез не отработал
Betting spree,0,0,200,3,active+inactive,""
course,0,0,200,1,только inactive,active-срез не отработал
before,0,0,200,1,только inactive,active-срез не отработал
eye,0,0,200,1,только inactive,active-срез не отработал
Download & play,0,0,200,2,active+inactive,""
drops,0,0,200,1,только inactive,active-срез не отработал
health,0,0,200,2,только inactive,active-срез не отработал
price,0,0,200,1,только inactive,active-срез не отработал
Melbet,0,0,2,1,только active,""
digital,0,0,200,1,только inactive,active-срез не отработал
your lucky day,0,0,400,1,только inactive,active-срез не отработал
Betika,0,0,2,3,active+inactive,""
Spribe,0,0,1,1,только active,""
official,0,0,200,1,только inactive,active-срез не отработал
Casumo,0,0,5,3,active+inactive,""
Fairspin,0,0,0,3,active+inactive,""
bet now,0,0,200,1,только inactive,active-срез не отработал
brand,0,0,400,1,только inactive,active-срез не отработал
Multihand Blackjack Pro 2,0,0,0,3,active+inactive,""
test,0,0,200,1,только inactive,active-срез не отработал
healthy,0,0,720,2,active+inactive,""
trust,0,0,1200,1,только inactive,active-срез не отработал
Cash out,0,0,200,1,только inactive,active-срез не отработал
food,0,0,200,1,только inactive,active-срез не отработал
click,0,0,200,1,только inactive,active-срез не отработал
free,0,0,200,1,только inactive,active-срез не отработал
Wazdan,0,0,5,3,active+inactive,""
Aviatrix,0,0,216,3,active+inactive,""
fear,0,0,200,2,только inactive,active-срез не отработал
Minesweeper,0,0,41,1,только active,""
goal prediction,0,0,42,1,только active,""
Sweet Bonanza Xmas,0,0,0,3,active+inactive,""
Endorphina,0,0,5,3,active+inactive,""
Quickspin,0,0,0,2,только active,""
Neon54,0,0,50,1,только active,""
credit,0,0,200,1,только inactive,active-срез не отработал
Spinomenal,0,0,0,3,active+inactive,""
man,0,0,200,2,только inactive,active-срез не отработал
Rabona,0,0,1,1,только active,""
bank,0,0,200,1,только inactive,active-срез не отработал
consultation,0,0,200,1,только inactive,active-срез не отработал
Burning Chilli,0,0,218,3,active+inactive,""
after,0,0,200,1,только inactive,active-срез не отработал
men's health,0,0,200,2,только inactive,active-срез не отработал
body,0,0,200,1,только inactive,active-срез не отработал
Cashout king,0,0,136,3,active+inactive,""
surgery,0,0,200,2,только inactive,active-срез не отработал
today,0,0,400,1,только inactive,active-срез не отработал
save,0,0,800,1,только inactive,active-срез не отработал
free spins / FS,0,0,42,2,только active,""
blood,0,0,200,1,только inactive,active-срез не отработал
Vision,0,0,200,2,только inactive,active-срез не отработал
visit,0,0,200,1,только inactive,active-срез не отработал
